DATE,LFACTTTTUSM657S
1974-12-01,0.0150917361964513
1975-01-01,0.375080836387152
1975-02-01,-0.377974400824671
1975-03-01,0.419289471415021
1975-04-01,0.251167283851232
1975-05-01,0.5192775083245
1975-06-01,-0.329129564142985
1975-07-01,0.476623029655357
1975-08-01,0.149966496846449
1975-09-01,0.0424799813088082
1975-10-01,0.069000658160124
1975-11-01,-0.0180338824827352
1975-12-01,0.168700265251989
1976-01-01,0.556091050641358
1976-02-01,0.0674152569153306
1976-03-01,0.228425861597086
1976-04-01,0.557685238670378
1976-05-01,0.105487435506444
1976-06-01,0.0396465199745428
1976-07-01,0.727955363195494
1976-08-01,0.163589865711357
1976-09-01,-0.194333322996454
1976-10-01,0.156390790550268
1976-11-01,0.568745863666446
1976-12-01,0.0966541221954881
1977-01-01,-0.143813945843777
